ParentLocation,Location,Population using safely managed sanitation services (%)
Africa,Algeria,20.22625
Africa,Angola,
Africa,Benin,
Africa,Botswana,
Africa,Burkina Faso,
Africa,Burundi,
Africa,Cabo Verde,
Africa,Cameroon,
Africa,Central African Republic,17.93125
Africa,Chad,8.8575
Africa,Comoros,
Africa,Congo,
Africa,Côte d’Ivoire,
Africa,Democratic Republic of the Congo,18.813125
Africa,Equatorial Guinea,
Africa,Eritrea,
Africa,Eswatini,
Africa,Ethiopia,3.931875
Africa,Gabon,
Africa,Gambia,36.715
Africa,Ghana,7.4925
Africa,Guinea,
Africa,Guinea-Bissau,6.300625
Africa,Kenya,
Africa,Lesotho,23.143125
Africa,Liberia,
Africa,Madagascar,6.14125
Africa,Malawi,21.065625
Africa,Mali,11.17
Africa,Mauritania,
Africa,Mauritius,
Africa,Mozambique,
Africa,Namibia,
Africa,Niger,10.395625
Africa,Nigeria,24.0775
Africa,Rwanda,
Africa,Sao Tome and Principe,20.805625
Africa,Senegal,16.93
Africa,Seychelles,
Africa,Sierra Leone,10.73375
Africa,South Africa,
Africa,South Sudan,
Africa,Togo,6.91125
Africa,Uganda,
Africa,United Republic of Tanzania,13.735625
Africa,Zambia,
Africa,Zimbabwe,29.18875
Americas,Anguilla,
Americas,Antigua and Barbuda,
Americas,Argentina,49.438125
Americas,Bahamas,
Americas,Barbados,
Americas,Belize,
Americas,Bolivia (Plurinational State of),35.999375
Americas,Brazil,39.15
Americas,Canada,79.913125
Americas,Chile,59.40375
Americas,Colombia,16.38125
Americas,Costa Rica,36.106875
Americas,Cuba,38.784375
Americas,Dominica,
Americas,Dominican Republic,
Americas,Ecuador,40.71125
Americas,El Salvador,
Americas,Grenada,
Americas,Guatemala,
Americas,Guyana,
Americas,Haiti,
Americas,Honduras,44.30625
Americas,Jamaica,
Americas,Mexico,29.616875
Americas,Nicaragua,
Americas,Panama,
Americas,Paraguay,50.52375
Americas,Peru,24.8975
Americas,Saint Kitts and Nevis,
Americas,Saint Lucia,
Americas,Saint Vincent and the Grenadines,
Americas,Suriname,28.960625
Americas,Trinidad and Tobago,
Americas,United States of America,97.9675
Americas,Uruguay,
Americas,Venezuela (Bolivarian Republic of),21.39363636363636
Eastern Mediterranean,Afghanistan,
Eastern Mediterranean,Bahrain,77.27625
Eastern Mediterranean,Djibouti,28.2375
Eastern Mediterranean,Egypt,57.62
Eastern Mediterranean,Iran (Islamic Republic of),
Eastern Mediterranean,Iraq,36.80125
Eastern Mediterranean,Jordan,78.001875
Eastern Mediterranean,Kuwait,100.0
Eastern Mediterranean,Lebanon,11.82625
Eastern Mediterranean,Libya,23.334375
Eastern Mediterranean,Morocco,35.173125
Eastern Mediterranean,Occupied Palestinian territory,49.204375
Eastern Mediterranean,Oman,
Eastern Mediterranean,Pakistan,
Eastern Mediterranean,Qatar,76.175
Eastern Mediterranean,Saudi Arabia,44.175625
Eastern Mediterranean,Somalia,20.84
Eastern Mediterranean,Sudan,
Eastern Mediterranean,Syrian Arab Republic,
Eastern Mediterranean,Tunisia,63.823125
Eastern Mediterranean,United Arab Emirates,80.49714285714286
Eastern Mediterranean,Yemen,21.715625
Europe,Albania,43.151250000000005
Europe,Andorra,65.589375
Europe,Armenia,51.63375
Europe,Austria,99.656875
Europe,Azerbaijan,23.1675
Europe,Belarus,81.093125
Europe,Belgium,78.139375
Europe,Bosnia and Herzegovina,23.74875
Europe,Bulgaria,53.25125
Europe,Croatia,77.69
Europe,Cyprus,76.42625
Europe,Czechia,73.5475
Europe,Denmark,87.82187499999999
Europe,Estonia,92.65625
Europe,Finland,81.91625
Europe,France,79.0125
Europe,Georgia,42.63
Europe,Germany,96.27
Europe,Greece,82.2925
Europe,Hungary,71.643125
Europe,Iceland,57.533125
Europe,Ireland,66.149375
Europe,Israel,85.5
Europe,Italy,95.681875
Europe,Kazakhstan,
Europe,Kyrgyzstan,88.110625
Europe,Latvia,58.92375
Europe,Lithuania,83.845625
Europe,Luxembourg,92.19125
Europe,Malta,91.87
Europe,Monaco,100.0
Europe,Montenegro,34.519
Europe,Netherlands,97.45875
Europe,Norway,61.090625
Europe,Poland,84.090625
Europe,Portugal,61.951875
Europe,Republic of Moldova,
Europe,Romania,59.891333333333336
Europe,Russian Federation,57.46375
Europe,San Marino,70.37
Europe,Serbia,20.451875
Europe,Slovakia,84.14937499999999
Europe,Slovenia,41.934375
Europe,Spain,94.256875
Europe,Sweden,93.65375
Europe,Switzerland,99.62125
Europe,Tajikistan,
Europe,The former Yugoslav Republic of Macedonia,12.7725
Europe,Turkey,65.735625
Europe,Turkmenistan,
Europe,Ukraine,49.545625
Europe,United Kingdom of Great Britain and Northern Ireland,97.87375
Europe,Uzbekistan,
South-East Asia,Bangladesh,25.718125
South-East Asia,Bhutan,63.76125
South-East Asia,Democratic People's Republic of Korea,
South-East Asia,India,20.48375
South-East Asia,Indonesia,
South-East Asia,Maldives,
South-East Asia,Myanmar,60.336875
South-East Asia,Nepal,22.6075
South-East Asia,Sri Lanka,
South-East Asia,Thailand,21.815625
South-East Asia,Timor-Leste,
Western Pacific,Australia,62.777499999999996
Western Pacific,Brunei Darussalam,
Western Pacific,Cambodia,
Western Pacific,China,29.45625
Western Pacific,Cook Islands,
Western Pacific,Fiji,
Western Pacific,Japan,76.276875
Western Pacific,Kiribati,21.01375
Western Pacific,Lao People's Democratic Republic,38.563125
Western Pacific,Malaysia,68.4
Western Pacific,Marshall Islands,
Western Pacific,Micronesia (Federated States of),
Western Pacific,Mongolia,39.620625000000004
Western Pacific,Nauru,
Western Pacific,New Zealand,78.371875
Western Pacific,Niue,
Western Pacific,Palau,
Western Pacific,Papua New Guinea,
Western Pacific,Philippines,47.671875
Western Pacific,Republic of Korea,85.376875
Western Pacific,Samoa,48.04625
Western Pacific,Singapore,100.0
Western Pacific,Solomon Islands,
Western Pacific,Tonga,34.761875
Western Pacific,Tuvalu,5.577333333333333
Western Pacific,Vanuatu,
Western Pacific,Viet Nam,
