Indicator,Location,Period,FactValueNumeric
Age-standardized suicide rates (per 100 000 population),Antigua and Barbuda,2015,0
Age-standardized suicide rates (per 100 000 population),Barbados,2015,0.16
Age-standardized suicide rates (per 100 000 population),Grenada,2015,0.27
Age-standardized suicide rates (per 100 000 population),Barbados,2015,0.31
Age-standardized suicide rates (per 100 000 population),Antigua and Barbuda,2015,0.42
Age-standardized suicide rates (per 100 000 population),Barbados,2015,0.5
Age-standardized suicide rates (per 100 000 population),Grenada,2015,0.62
Age-standardized suicide rates (per 100 000 population),Brunei Darussalam,2015,0.63
Age-standardized suicide rates (per 100 000 population),Kuwait,2015,0.72
Age-standardized suicide rates (per 100 000 population),Syrian Arab Republic,2015,0.77
Age-standardized suicide rates (per 100 000 population),Venezuela (Bolivarian Republic of),2015,0.79
Age-standardized suicide rates (per 100 000 population),Antigua and Barbuda,2015,0.79
Age-standardized suicide rates (per 100 000 population),Maldives,2015,0.85
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2015,0.86
Age-standardized suicide rates (per 100 000 population),Grenada,2015,0.88
Age-standardized suicide rates (per 100 000 population),Jordan,2015,0.9
Age-standardized suicide rates (per 100 000 population),Jamaica,2015,1.01
Age-standardized suicide rates (per 100 000 population),Honduras,2015,1.05
Age-standardized suicide rates (per 100 000 population),Panama,2015,1.08
Age-standardized suicide rates (per 100 000 population),Bahamas,2015,1.11
Age-standardized suicide rates (per 100 000 population),Sao Tome and Principe,2015,1.19
Age-standardized suicide rates (per 100 000 population),Indonesia,2015,1.24
Age-standardized suicide rates (per 100 000 population),Myanmar,2015,1.26
Age-standardized suicide rates (per 100 000 population),Turkey,2015,1.26
Age-standardized suicide rates (per 100 000 population),Philippines,2015,1.27
Age-standardized suicide rates (per 100 000 population),Oman,2015,1.28
Age-standardized suicide rates (per 100 000 population),Seychelles,2015,1.4
Age-standardized suicide rates (per 100 000 population),Peru,2015,1.46
Age-standardized suicide rates (per 100 000 population),Greece,2015,1.54
Age-standardized suicide rates (per 100 000 population),Azerbaijan,2015,1.56
Age-standardized suicide rates (per 100 000 population),Saint Lucia,2015,1.6
Age-standardized suicide rates (per 100 000 population),Belize,2015,1.61
Age-standardized suicide rates (per 100 000 population),Brunei Darussalam,2015,1.63
Age-standardized suicide rates (per 100 000 population),Lebanon,2015,1.73
Age-standardized suicide rates (per 100 000 population),Bangladesh,2015,1.81
Age-standardized suicide rates (per 100 000 population),Qatar,2015,1.82
Age-standardized suicide rates (per 100 000 population),Colombia,2015,1.82
Age-standardized suicide rates (per 100 000 population),Cyprus,2015,1.84
Age-standardized suicide rates (per 100 000 population),Jordan,2015,1.85
Age-standardized suicide rates (per 100 000 population),Tunisia,2015,1.86
Age-standardized suicide rates (per 100 000 population),Israel,2015,1.87
Age-standardized suicide rates (per 100 000 population),Syrian Arab Republic,2015,1.95
Age-standardized suicide rates (per 100 000 population),Papua New Guinea,2015,1.99
Age-standardized suicide rates (per 100 000 population),Fiji,2015,10.01
Age-standardized suicide rates (per 100 000 population),Singapore,2015,10.03
Age-standardized suicide rates (per 100 000 population),Equatorial Guinea,2015,10.04
Age-standardized suicide rates (per 100 000 population),Morocco,2015,10.1
Age-standardized suicide rates (per 100 000 population),Botswana,2015,10.26
Age-standardized suicide rates (per 100 000 population),Malta,2015,10.28
Age-standardized suicide rates (per 100 000 population),Gambia,2015,10.29
Age-standardized suicide rates (per 100 000 population),Cuba,2015,10.36
Age-standardized suicide rates (per 100 000 population),Guatemala,2015,10.38
Age-standardized suicide rates (per 100 000 population),Niger,2015,10.39
Age-standardized suicide rates (per 100 000 population),Central African Republic,2015,10.39
Age-standardized suicide rates (per 100 000 population),South Africa,2015,10.41
Age-standardized suicide rates (per 100 000 population),Czechia,2015,10.49
Age-standardized suicide rates (per 100 000 population),Switzerland,2015,10.5
Age-standardized suicide rates (per 100 000 population),Sierra Leone,2015,10.53
Age-standardized suicide rates (per 100 000 population),Norway,2015,10.59
Age-standardized suicide rates (per 100 000 population),Kenya,2015,10.64
Age-standardized suicide rates (per 100 000 population),Costa Rica,2015,10.69
Age-standardized suicide rates (per 100 000 population),Nigeria,2015,10.86
Age-standardized suicide rates (per 100 000 population),Kyrgyzstan,2015,10.87
Age-standardized suicide rates (per 100 000 population),Mali,2015,10.89
Age-standardized suicide rates (per 100 000 population),Uganda,2015,11.04
Age-standardized suicide rates (per 100 000 population),India,2015,11.05
Age-standardized suicide rates (per 100 000 population),Bulgaria,2015,11.13
Age-standardized suicide rates (per 100 000 population),New Zealand,2015,11.13
Age-standardized suicide rates (per 100 000 population),Canada,2015,11.16
Age-standardized suicide rates (per 100 000 population),The former Yugoslav Republic of Macedonia,2015,11.25
Age-standardized suicide rates (per 100 000 population),Denmark,2015,11.26
Age-standardized suicide rates (per 100 000 population),Viet Nam,2015,11.29
Age-standardized suicide rates (per 100 000 population),Mauritius,2015,11.34
Age-standardized suicide rates (per 100 000 population),Austria,2015,11.39
Age-standardized suicide rates (per 100 000 population),Dominican Republic,2015,11.45
Age-standardized suicide rates (per 100 000 population),France,2015,11.48
Age-standardized suicide rates (per 100 000 population),Serbia,2015,11.69
Age-standardized suicide rates (per 100 000 population),Comoros,2015,11.77
Age-standardized suicide rates (per 100 000 population),Australia,2015,11.81
Age-standardized suicide rates (per 100 000 population),Senegal,2015,11.81
Age-standardized suicide rates (per 100 000 population),Suriname,2015,11.81
Age-standardized suicide rates (per 100 000 population),Eswatini,2015,11.89
Age-standardized suicide rates (per 100 000 population),Djibouti,2015,11.89
Age-standardized suicide rates (per 100 000 population),Haiti,2015,11.97
Age-standardized suicide rates (per 100 000 population),Lesotho,2015,114.5
Age-standardized suicide rates (per 100 000 population),United Kingdom of Great Britain and Northern Ireland,2015,12.01
Age-standardized suicide rates (per 100 000 population),Ghana,2015,12.02
Age-standardized suicide rates (per 100 000 population),Thailand,2015,12.11
Age-standardized suicide rates (per 100 000 population),Croatia,2015,12.15
Age-standardized suicide rates (per 100 000 population),Finland,2015,12.15
Age-standardized suicide rates (per 100 000 population),Belize,2015,12.18
